fiscal_year,budget_amount,budget_previous,settlement_amount,settlement_original_budget,execution_rate
102,,,324933215.0,353520000.0,
103,375982000,353520000,342379001.0,375982000.0,91.06
104,471064000,375982000,394740303.0,471064000.0,83.8
105,590434000,471064000,554155900.0,590434000.0,93.86
106,571483000,590434000,552183292.0,571483000.0,96.62
107,451242000,,438520846.0,451242000.0,97.18
108,469441000,,449055900.0,469441000.0,95.66
109,454175000,469441000,446185955.0,454175000.0,98.24
110,420827000,454175000,398960380.0,420705000.0,94.8
111,397433000,,387314834.0,397433000.0,97.45
112,415127000,397433000,405854337.0,415127000.0,97.77
113,608768000,415127000,579759829.0,608768000.0,95.23
114,606881000,608768000,,,
