source_layer,date,type,job_number,title,category,unit_id,unit_name,budget_amount,total_award_amount,bottom_price,winner_names,winner_ids,winner_count,bidder_count,date_formatted,fiscal_year,track
bamid_full,20120914,決標公告,D101-003,「2013法國坎城MEDEM國際唱片展業務及表演活動」採購案,,A.25.2,文化部影視及流行音樂產業局,14500000.0,14390275.0,14390275.0,大京藝術創新有限公司,53353559,1,1,2012-09-14,101,procurement
bamid_full,20120813,決標公告,D101-004,「2012年美國紐約音樂節演出活動」採購案,,A.25.2,文化部影視及流行音樂產業局,6400000.0,6320000.0,6340000.0,原人音樂股份有限公司,28479524,1,2,2012-08-13,101,procurement
bamid_full,20120820,決標公告,D101-005,辦理「2013年美國南音樂節（SXSW）展演活動」,,A.25.2,文化部影視及流行音樂產業局,6400000.0,6320000.0,6320000.0,這牆音樂藝文展演空間有限公司,80540394,1,2,2012-08-20,101,procurement
bamid_full,20120913,決標公告,D101-011,辦理「2013年東南亞地區音樂節展演活動」,,A.25.2,文化部影視及流行音樂產業局,6100000.0,5990000.0,5990000.0,典選音樂事業股份有限公司,80597396,1,3,2012-09-13,101,procurement
bamid_full,20120822,定期彙送,D101-014,辦理「2012年東北亞地區音樂節展演活動」擴充專業燈光音效等人員,,A.25.2,文化部影視及流行音樂產業局,857500.0,,,,,0,0,2012-08-22,101,procurement
bamid_full,20120925,定期彙送,D101-019,辦理「2012年美國紐約音樂節演出活動」行前記者會,,A.25.2,文化部影視及流行音樂產業局,194000.0,,,,,0,0,2012-09-25,101,procurement
bamid_full,20121112,決標公告,D101-024,辦理「第24屆金曲獎報名、線上審聽評分網站暨複決審作業系統功能增修及維護」採購案,,A.25.2,文化部影視及流行音樂產業局,4000000.0,3700000.0,3700000.0,原人音樂股份有限公司,28479524,1,1,2012-11-12,101,procurement
bamid_full,20130122,更正決標公告,D101-027,辦理「第24屆流行音樂金曲獎頒獎典禮活動」,,A.25.2,文化部影視及流行音樂產業局,4000000.0,17800000.0,17850000.0,東風文化製作股份有限公司,29046912,1,3,2013-01-22,102,procurement
bamid_full,20130111,決標公告,D101-028,辦理「2013年日本地區音樂節展演活動」,,A.25.2,文化部影視及流行音樂產業局,4500000.0,4360000.0,4360000.0,這牆音樂藝文展演空間有限公司,80540394,1,2,2013-01-11,102,procurement
bamid_full,20130111,決標公告,D101-029,辦理「2013年歐洲地區音樂節展演活動」,,A.25.2,文化部影視及流行音樂產業局,9500000.0,9360000.0,9360000.0,河岸留言音樂製造有限公司,28486573,1,5,2013-01-11,102,procurement
bamid_full,20130416,更正決標公告,D101-047,辦理「第24屆傳統暨藝術音樂金曲獎頒獎典禮活動」,,A.25.2,文化部影視及流行音樂產業局,10000000.0,9840000.0,9840000.0,新視紀整合行銷傳播股份有限公司,70370954,1,1,2013-04-16,102,procurement
bamid_full,20130225,更正決標公告,D101-049,辦理「第4屆金音獎頒獎典禮及相關宣傳推廣活動」,,A.25.2,文化部影視及流行音樂產業局,15000000.0,14800000.0,14800000.0,東風文化製作股份有限公司,29046912,1,1,2013-02-25,102,procurement
