fiscal_year,doc_type,table_type,seq,item_name,year_range,target,amount,amount_twd,unit,source
112,budget,subsidy_analysis,1,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,29300,29300000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,2,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,24002,24002000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,3,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,8136,8136000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,4,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,2000,2000000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,5,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,9340,9340000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,6,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,50000,50000000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,7,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,53037,53037000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,8,推動流行音樂產業發展旗艦計畫,112-112,流行音樂業者,1168,1168000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,1,推動流行音樂產業發展旗艦計畫,112-112,音樂團體,7177,7177000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,2,推動流行音樂產業發展旗艦計畫,112-112,音樂團體,1000,1000000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,3,推動流行音樂產業發展旗艦計畫,112-112,音樂團體,4055,4055000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,4,推動流行音樂產業發展旗艦計畫,112-112,音樂團體,1200,1200000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,5,推動流行音樂產業發展旗艦計畫,112-112,音樂團體、法人,30000,30000000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,1,推動電影產業發展旗艦計畫,112-112,私立學校,1200,1200000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,1,推動廣播電視內容產業發展旗艦計畫,112-112,私立學校,100,100000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,1,推動流行音樂產業發展旗艦計畫,112-112,私立學校,5487,5487000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,1,推動電影產業發展旗艦計畫,112-112,電影業者,43000,43000000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
112,budget,subsidy_analysis,2,運用數位擬真科技創新影像內容計畫,112-112,電影業者,19910,19910000,千元,112-6120-文化部影視及流行音樂產業局-捐助經費分析表_20250418163039.xml
